iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ETN","EATON PLC","Industrials","Equity","64,404,021.15","0.21","64,404,021.15","293,881.00","219.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","64,222,450.15","0.21","64,222,450.15","1,049,215.00","61.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","63,268,637.08","0.21","63,268,637.08","1,093,478.00","57.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","62,906,814.96","0.21","62,906,814.96","76,296.00","824.51","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","62,907,102.25","0.21","62,907,102.25","98,965.00","635.65","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","61,508,414.24","0.20","61,508,414.24","342,608.00","179.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","61,297,594.82","0.20","61,297,594.82","214,823.00","285.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","61,185,915.60","0.20","61,185,915.60","340,584.00","179.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","61,139,662.48","0.20","61,139,662.48","1,433,857.00","42.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","60,596,821.60","0.20","60,596,821.60","431,110.00","140.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
